PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
SPRINGDALE FOREST,ACTIVE,ENVIRONMENTAL PARKS,WOODLOT,13.386,284,1998,"PETER ROBERTSON BV, FERNFOREST DR",138710,621,256720.65234375,3026.83628942635
BLACK FOREST PARK SOUTH,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.804,278,1999,"BLACK FOREST DR, BUNCHBERRY WAY, WILLOW PARK DR",138029,622,72957.78125,1297.85274753618
COVENTRY CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.953,421,2004,"SANDALWOOD PKWY, NAPA VALLEY CRES, FIDELITY AVE, WARWICK WAY, LILYPAD RD, WESTMEADOW DR",138246,623,37389.5859375,1379.65343813315
CRYSTALVIEW PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.803,496,2008,"CRYSTAL VIEW CRES, CARINO GATE, ATTMAR DR",138159,624,15415.90234375,529.607851536188
ATKINS PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.202,022,1990,"MAJOR WILLIAMS SHARPE DR, CHINGUACOUSY RD, ATKINS CIR",138003,625,3895.8828125,315.441057881567
UPPER RIDGE VISTA,ACTIVE,ENVIRONMENTAL PARKS,VISTA,0.258,625,2006,HIGHVALLEY CIR,138762,626,4943.05859375,854.57699274408
BRAMPTON FIRE TRAINING,ACTIVE,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,2.085,541,2010,GLIDDEN RD,199566,627,39910.2421875,972.186163115935
MAITLAND PARK NORTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,5.716,293,1980,"MAITLAND ST, NORTH PARK DR, MADISON ST, MALABAR CRES, MACKAY ST S",138416,628,109545.70703125,2383.77965922147
MANSWOOD PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,2.428,581,1981,MANSWOOD CRES,138428,629,46577.0703125,1034.7296940623
CANTRILL PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.488,126,1976,"MOUNT FOREST DR, CANTRILL CRT, DAWNRIDGE TRAIL, BLUERIDGE SQ",138085,630,66868.53515625,2627.48231705137
SAVANNAH SPARROW WOODS,ACTIVE,ENVIRONMENTAL PARKS,WOODLOT,10.609,447,2005,COTTRELLE BLVD,138015,631,203597.6484375,2508.75285762434
DOWNS BUGGY CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.74,565,1995,"TORBRAM RD, CORPORATION DR",214348,632,52646.30078125,3254.56686152969
MAJOR OAKS PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,5.764,239,1978,WILLIAMS PKWY E,138418,633,110424.41796875,1418.34920398574
